i,j,Lon,Lat,SL,UC,Code,Error
3316,2923,"110,5166667","-7,416666667","15,20561936","9,820589355",13,212
3317,2923,"110,55","-7,416666667","22,86212966","17,33387966",13,212
3318,2923,"110,5833333","-7,416666667","30,40396806","24,73286806",13,212
3319,2923,"110,6166667","-7,416666667","28,69970778","22,88654778",13,212
3320,2923,"110,65","-7,416666667","23,49965782","17,54563782",13,212
3321,2923,"110,6833333","-7,416666667","23,09414735","17,00087735",13,212
3322,2923,"110,7166667","-7,416666667","28,14079649","21,91030649",13,212
3323,2923,"110,75","-7,416666667","35,89518005","29,52992005",13,212
3324,2923,"110,7833333","-7,416666667","44,54394596","38,04676596",13,212
3325,2923,"110,8166667","-7,416666667","55,52635519","48,90052519",13,212
3326,2923,"110,85","-7,416666667","71,48856982","64,73775982",13,212
3327,2923,"110,8833333","-7,416666667","88,75119892","81,87944892",13,212
3328,2923,"110,9166667","-7,416666667","101,2168273","94,22858734",13,212
3329,2923,"110,95","-7,416666667","109,9481048","102,8481748",13,212
3330,2923,"110,9833333","-7,416666667","122,1006714","114,8942214",13,212
3331,2923,"111,0166667","-7,416666667","141,232835","133,925375",13,212
3332,2923,"111,05","-7,416666667","165,7441014","158,3414714",13,212
3333,2923,"111,0833333","-7,416666667","193,9257798","186,4341298",13,212
3334,2923,"111,1166667","-7,416666667","222,7675484","215,1933184",13,212
3335,2923,"111,15","-7,416666667","243,1506176","235,5005376",13,212
3336,2923,"111,1833333","-7,416666667","248,6323769","240,9134169",13,212
3337,2923,"111,2166667","-7,416666667","242,5120196","234,7313896",13,212
3338,2923,"111,25","-7,416666667","230,8263995","222,9915095",13,212
3339,2923,"111,2833333","-7,416666667","218,5211635","210,6396235",13,212
3340,2923,"111,3166667","-7,416666667","210,6500255","202,7296055",13,212
3341,2923,"111,35","-7,416666667","210,9887708","203,0373808",13,212
3342,2923,"111,3833333","-7,416666667","218,749592","210,775262",13,212
3343,2923,"111,4166667","-7,416666667","230,4388015","222,4496315",13,212
3344,2923,"111,45","-7,416666667","242,4801963","234,4843863",13,212
3345,2923,"111,4833333","-7,416666667","252,1516057","244,1573457",13,212
3346,2923,"111,5166667","-7,416666667","260,1880325","252,2035625",13,212
3347,2923,"111,55","-7,416666667","269,5966715","261,6302115",13,212
3348,2923,"111,5833333","-7,416666667","280,9062886","272,9659986",13,212
3349,2923,"111,6166667","-7,416666667","292,9155307","285,0095207",13,212
3350,2923,"111,65","-7,416666667","303,7804748","295,9167548",13,212
3351,2923,"111,6833333","-7,416666667","310,8519829","303,0384629",13,212
